,plant_id_eia,plant_name_eia,utility_id_eia,utility_name_eia,state,capacity_mw
696,62144,msc-scandia01 csg,,,MN,1.0
697,62145,minisink solar 1 llc,,,NY,1.8
698,62146,minisink community solar 2 llc,,,NY,2.8
699,62147,kce ny 1,,,NY,20.0
700,62148,goose lake mn dpc-gm,,,MN,1.5
701,62149,syncarpha eagle nest,,,NM,1.0
702,62150,chaffey college rancho cucamonga campus,,,CA,4.0
703,62151,clif bar bakery of twin falls,57449,borrego solar systems inc,ID,2.0
704,62152,ikea live oak rooftop pv system,57389,ikea property inc,TX,1.7
705,62153,cadiz power plant,,,OH,1320.0
706,62154,kelly bridge road community solar farm,,,NY,2.0
707,62155,hospital rd community solar farm,,,NY,1.4
708,62156,pool brook rd community solar farm,,,NY,2.0
709,62157,breesport road community solar farm,,,NY,2.0
710,62158,sacket lake rd #1 community solar farm,,,NY,2.0
711,62159,sacket lake rd #2 community solar farm,,,NY,1.7
712,62160,turner rd community solar project,,,NY,2.0
713,62161,galactic wind,,,WI,9.9
714,62162,4710 hosting,,,MN,7.5
715,62163,meridian iii,,,MS,52.5
716,62164,meridian ii,,,MS,5.0
717,62165,snipesville,,,GA,61.0
718,62167,county home solar llc,,,NC,7.5
719,62168,church road solar llc,,,NC,5.0
720,62169,boring solar llc,,,OR,2.2
721,62170,ballston solar llc,,,OR,2.2
722,62171,labish solar llc,,,OR,2.2
723,62172,birch,,,IA,1.8
724,62173,sr jonesborough,,,TN,4.4
725,62174,maimonides medical center,,,NY,3.9000000000000004
726,62175,diablo energy storage,,,CA,250.0
727,62176,berry nmw cogens,1569,berry petroleum co,CA,9.6
728,62177,"desert harvest, llc",,,CA,150.0
729,62178,"maverick solar, llc",,,CA,225.0
730,62179,ashley solar (sc),,,SC,2.0
731,62180,atlantic solar,,,SC,1.0
732,62181,b & k solar,,,SC,63.0
733,62182,battle solar,,,SC,2.0
734,62183,bell solar,,,SC,6.1
735,62184,big fork solar,,,SC,74.9
