report_year,utility_id_ferc1,xbrl_factoid,xbrl_factoid_off_by,abs_diff,ending_balance_off_by,_delta
2008,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,14410376.0,14410376.0,0.0
2009,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,11039323.0,11039323.0,0.0
2010,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,5462497.0,5462497.0,0.0
2017,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,7692891.0,7692891.0,0.0
2011,177,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,16037475.0,16037475.0,0.0
2023,264,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,3894275.0,3894275.0,0.0
2015,176,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,12758211.0,12758211.0,0.0
1998,257,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,715488923.0,715488923.0,0.0
2012,179,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,215588753.0,215588753.0,0.0
1994,250,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,11522782.0,11522782.0,0.0
2024,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,130682395.0,130682395.0,0.0
1998,406,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,40004424.0,40004424.0,0.0
2023,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,689150008.0,689150008.0,0.0
2021,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,609416664.0,609416664.0,0.0
2020,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,596822729.0,596822729.0,0.0
2019,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,456663535.0,456663535.0,0.0
2018,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,402081799.0,402081799.0,0.0
1995,250,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,9352834.0,9352834.0,0.0
2017,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,478891932.0,478891932.0,0.0
2016,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,479550879.0,479550879.0,0.0
2009,183,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,411031215.0,411031215.0,0.0
2015,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,299559783.0,299559783.0,0.0
2014,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,286590953.0,286590953.0,0.0
2012,249,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,405027342.0,405027342.0,0.0
2025,248,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,814061745.0,814061745.0,0.0
2024,248,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,765970419.0,765970419.0,0.0
2023,248,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,856737338.0,856737338.0,0.0
2008,183,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,413397692.0,413397692.0,0.0
2022,248,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,771720358.0,771720358.0,0.0
1996,250,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,6749523.0,6749523.0,0.0
1998,250,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_property_under_capital_leases,1382510.0,1382510.0,0.0
2021,180,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,293828210.0,293828210.0,0.0
1995,253,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,40762.0,40762.0,0.0
1994,253,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,32880.0,32880.0,0.0
2022,180,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,409839635.0,409839635.0,0.0
2018,251,utility_plant_in_service_classified_and_property_under_capital_leases,utility_plant_in_service_completed_construction_not_classified,6244900379.0,6244900379.0,0.0
